adoption_rate,adoption_pct,negation_savings,bid_savings,harvest_savings,total_savings,harvest_uplift,bid_uplift,adtft_uplift,total_uplift,extra_spend,net_spend,net_sales,net_orders,new_acos,new_roas,acos_improvement,roas_improvement,profit_improvement
0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2862799.0,28782225.0,257465,9.95,10.05,0.0,0.0,0.0
0.1,10%,30873.0,31241.0,4639.0,66753.0,79988.0,41228.0,143911.0,265128.0,1263.0,2797309.0,29046951.0,258549,9.63,10.38,0.32,0.33,330217.0
0.2,20%,61746.0,62483.0,9278.0,133507.0,159977.0,82457.0,287822.0,530256.0,2526.0,2731818.0,29311677.0,259633,9.32,10.73,0.63,0.68,660433.0
0.3,30%,92619.0,93724.0,13917.0,200260.0,239965.0,123685.0,431733.0,795384.0,3789.0,2666328.0,29576404.0,260717,9.02,11.09,0.93,1.04,990650.0
0.4,40%,123492.0,124965.0,18557.0,267013.0,319953.0,164914.0,575644.0,1060512.0,5052.0,2600838.0,29841130.0,261802,8.72,11.47,1.23,1.42,1320867.0
0.5,50%,154365.0,156206.0,23196.0,333767.0,399942.0,206142.0,719556.0,1325640.0,6315.0,2535347.0,30105857.0,262886,8.42,11.87,1.52,1.82,1651083.0
0.6,60%,185238.0,187448.0,27835.0,400520.0,479930.0,247371.0,863467.0,1590768.0,7578.0,2469857.0,30370583.0,263970,8.13,12.3,1.81,2.24,1981300.0
0.7,70%,216111.0,218689.0,32474.0,467273.0,559918.0,288599.0,1007378.0,1855895.0,8841.0,2404367.0,30635309.0,265055,7.85,12.74,2.1,2.69,2311517.0
0.8,80%,246984.0,249930.0,37113.0,534027.0,639907.0,329828.0,1151289.0,2121023.0,10104.0,2338876.0,30900036.0,266139,7.57,13.21,2.38,3.16,2641734.0
0.9,90%,277857.0,281171.0,41752.0,600780.0,719895.0,371056.0,1295200.0,2386151.0,11367.0,2273386.0,31164762.0,267223,7.29,13.71,2.65,3.65,2971950.0
1.0,100%,308729.0,312413.0,46391.0,667534.0,799883.0,412285.0,1439111.0,2651279.0,12630.0,2207896.0,31429488.0,268308,7.02,14.24,2.92,4.18,3302167.0
