country,spend,sales,orders,clicks,impressions,campaigns,stores,acos,roas
美国,2390155.99,25104558.49,222884,3594810,440901500,44861,29,9.520804721389865,10.503313840198352
德国,143155.02,1261975.98,11311,452813,48011280,21168,4,11.343719870167417,8.81545041172849
加拿大,112594.81,873919.95,7651,255428,34428365,20515,5,12.88388141270834,7.761636171329744
西班牙,95782.6,770985.52,7302,416862,44700275,17107,4,12.423398042546896,8.049327539657515
意大利,55946.94,307779.18,3326,254606,27036652,12558,4,18.177623320719746,5.501269238317591
墨西哥,27322.03,166536.45,1116,137795,20680532,5518,3,16.40603603595489,6.095317588041592
英国,23169.2,145835.33,1924,76848,8689471,13682,4,15.88723390964316,6.294361911503202
澳大利亚,7001.0,97782.53,1375,24665,2708047,10397,3,7.159765655480585,13.966937580345665
法国,5560.61,42749.09,450,18369,2444921,11671,3,13.00755173969785,7.687841801528969
荷兰,2110.93,10102.27,126,5330,975519,344,4,20.89560069172572,4.785696351844922
