date,spend,sales,orders,clicks,impressions,active_campaigns,acos,roas,ctr,cvr,cpc
2026-01-13,53319.78,502463.92,4540,93543,10592907,143558,10.611663420529776,9.423593270639902,0.8830720405645023,4.853382936189774,0.5700028863731118
2026-01-14,57078.03,528617.79,4726,102005,11450998,143561,10.797599150039956,9.261318058804763,0.8907957192901439,4.633106220283319,0.559561099946081
2026-01-15,54301.7,496001.89,4568,100230,11599870,143695,10.947881670370247,9.134187143312273,0.8640614075847403,4.557517709268682,0.541770926868203
2026-01-16,48301.99,409553.78,3903,88006,10790894,143789,11.79380886192773,8.479024984270835,0.8155580065933369,4.4349248914846715,0.5488488284889667
2026-01-17,46071.02,405733.64,3869,91936,10751260,143680,11.354991417522095,8.806699743135708,0.8551183768228097,4.208362339018447,0.5011205621301775
2026-01-18,51931.99,438525.28,4413,105774,11805836,143686,11.842416473686534,8.444222530274693,0.8959467165222352,4.172102785183505,0.4909712216612778
2026-01-19,57782.59,542297.4,5212,104689,12606454,143723,10.655147894863592,9.385134865017301,0.8304397096915596,4.978555531144628,0.5519451900390681
2026-01-20,55099.15,523648.03,4961,98801,12174061,143839,10.522172689162986,9.5037406203181,0.8115697793858598,5.021204238823493,0.5576780599386646
2026-01-21,54508.71,507089.0,4630,96665,12292251,143860,10.74933788743199,9.302898564284497,0.7863897344758092,4.7897377540992085,0.5638929291884343
2026-01-22,50525.14,449178.16,4297,90689,11655597,143959,11.248351878907025,8.890191298826682,0.7780725431738932,4.738171112262788,0.5571253404492276
2026-01-23,48839.58,420645.29,3952,90031,11431557,144346,11.61063279705331,8.612794991275518,0.787565508355511,4.389599138074663,0.542475147449212
2026-01-24,47449.73,420754.84,4086,96450,11325246,144319,11.27728679247041,8.867381121030615,0.8516371300014145,4.236391912908243,0.4919619491964749
2026-01-25,51617.94,440550.55,4409,108631,12101463,144325,11.716689492272794,8.534834013135743,0.8976683232432311,4.058694111257376,0.47516767773471663
2026-01-26,54146.09,501428.34,4697,101970,12382580,144395,10.798370510928839,9.260656494310117,0.8234955881569108,4.606256742179073,0.5310001961361185
2026-01-27,52180.46,501706.43,4518,94679,11735972,143626,10.400596221180582,9.61483340698798,0.806741870208961,4.771913518309234,0.5511302400743565
2026-01-28,51521.45,493693.72,4558,93723,11577417,143402,10.435913586261538,9.582294752962115,0.8095329035828978,4.863267287645509,0.5497204528237465
2026-01-29,49297.55,447322.39,4247,89180,11064809,143370,11.020586293478402,9.073927406128702,0.8059786662381611,4.762278537788742,0.5527870598788966
2026-01-30,44558.74,438531.81,3923,80849,10333226,143410,10.160891179137039,9.841656429243736,0.7824178044688077,4.852255439152,0.55113532634912
2026-01-31,43823.53,407222.83,3952,87263,10242482,143428,10.761560200345349,9.292332908827747,0.8519712311918146,4.528838110081019,0.5022005890239849
2026-02-01,49128.9,466125.91,4386,98737,10895189,143410,10.539834612497726,9.487814911386169,0.9062440311957874,4.4421037706229685,0.49757335142854253
2026-02-02,48777.08,508218.33,4566,88777,10786670,143412,9.597662484940281,10.41920365056703,0.8230250855917535,5.1432240332518555,0.5494337497324757
2026-02-03,47902.78,497220.17,4476,87262,10433874,143492,9.634118422830674,10.379776914826238,0.8363336570865241,5.129380486351447,0.5489534963672618
2026-02-04,48482.43,520525.16,4441,87779,10825471,144217,9.314137668196482,10.736366968404843,0.8108561742948643,5.059296642704975,0.5523237904282345
2026-02-05,45221.47,457349.94,4083,81269,10204576,144144,9.887717488276046,10.113557564581603,0.7963976161282937,5.024055913078787,0.5564418166828681
2026-02-06,42281.2,415077.89,3688,76090,9370932,144189,10.186329124878224,9.817079221970996,0.8119790005946047,4.846891838612169,0.555673544486792
2026-02-07,40435.35,408560.5,3897,79110,8948381,144062,9.897028714229593,10.104042626068527,0.8840705374525292,4.926052332195677,0.5111281759575275
2026-02-08,43558.18,440340.5,4307,87332,9373417,144084,9.89193135766526,10.109249284520152,0.9316986537566824,4.931754683277608,0.49876540099848854
2026-02-09,47470.56,506224.0,4529,85600,10562850,144148,9.377382344574734,10.663956776579,0.8103873481115419,5.29088785046729,0.5545626168224299
2026-02-10,48408.01,492862.18,4344,86817,10835247,144336,9.821814690670728,10.181417909969857,0.8012461552560823,5.003628321642075,0.5575867629611713
2026-02-11,46908.83,499721.92,4337,82488,10402596,144418,9.386986666504443,10.65304591907323,0.7929559121588495,5.257734458345456,0.5686745950926195
2026-02-12,45555.07,468597.03,4065,79594,10094948,144527,9.721587437291268,10.286385906113194,0.7884537889645394,5.107168882076539,0.5723430158052114
2026-02-13,42512.87,438594.32,3710,74541,9387572,144454,9.692982344139796,10.316742200655941,0.7940391828685842,4.9771266819602635,0.5703286781771106
2026-02-14,40190.89,416493.15,3672,76066,8942902,144159,9.64983217611142,10.36287452206209,0.8505740083028978,4.827386743091526,0.5283686535377172
2026-02-15,47211.31,496654.68,4512,90863,10247090,143967,9.505862302555974,10.51982416925097,0.8867200346634996,4.965717618832748,0.5195878410354049
2026-02-16,52660.16,570352.03,4991,94778,11740043,143904,9.232922340961949,10.83080700856207,0.8073053906190973,5.265989997678786,0.5556158602207264
2026-02-17,50437.54,520296.6,4594,88982,11284214,143883,9.693997615975196,10.315661707529747,0.7885529288969529,5.162841923085567,0.5668285720707559
2026-02-18,49158.19,501484.6,4402,86657,11291312,143865,9.802532321032391,10.201445578041014,0.7674661722216161,5.079797362013455,0.5672731573906321
2026-02-19,48794.05,522162.8,4426,85987,11206125,143856,9.344604786093532,10.701362153787192,0.7673214425146963,5.147289706583553,0.5674584530219685
2026-02-20,45663.67,469074.91,4096,81327,10494903,143857,9.734835316602203,10.272387436226655,0.774919024978125,5.036457756956484,0.5614822875551785
2026-02-21,44602.28,465971.71,4216,85484,9919796,143821,9.57188581255287,10.447262113057898,0.8617515924722645,4.931917083898741,0.5217617331898367
2026-02-22,49105.69,513232.92,4748,96125,10694010,143839,9.56791509009204,10.451597767997965,0.8988676838716254,4.939401820546164,0.5108524317295189
2026-02-23,52152.51,596183.36,4988,92761,11517562,143840,8.747729893031567,11.431537235695846,0.8053874596029958,5.377259839803366,0.5622245340175289
2026-02-24,51446.44,561848.25,4887,90679,11463127,143934,9.156643275119217,10.92103263121802,0.7910494230762687,5.38934042060455,0.5673467947374806
2026-02-25,49220.92,530575.89,4643,86855,10926099,144304,9.276885913530673,10.779479335209501,0.7949314755431011,5.345691094352657,0.5667022048241321
2026-02-26,48026.03,529969.91,4583,82994,10713306,144040,9.0620295782453,11.035055572988233,0.7746815035433506,5.522085933922934,0.5786686989420922
2026-02-27,45070.62,490240.09,4193,77885,10297586,143938,9.193581047196691,10.877154341342543,0.7563423116835344,5.383578352699493,0.5786816460165629
2026-02-28,41852.46,479636.97000000003,4218,78879,9308770,149908,8.725861978487606,11.460185852874599,0.8473622186389824,5.347430875137869,0.5305906515042026
2026-03-01,49271.83,570532.4,5139,94386,10173325,149851,8.636114268006514,11.579281711273968,0.9277792658742349,5.444663403470853,0.5220247706227619
2026-03-02,48994.26,572555.54,4950,85592,10347150,150035,8.557119192314513,11.686175890808434,0.8272036261192696,5.783250771100103,0.5724163473221797
2026-03-03,49601.38,559646.07,4733,86236,10302033,149985,8.862990854201836,11.282872976517991,0.8370774972279744,5.488427107008674,0.5751818266153347
2026-03-04,47591.5,540527.34,4518,82627,9910835,150505,8.804642518174937,11.357644537364864,0.8337037192123569,5.467946312948552,0.575980006535394
2026-03-05,47530.23,503921.97000000003,4132,81252,9514112,150352,9.432061475708235,10.602136156294636,0.8540155928372506,5.085413282134594,0.5849730468173091
2026-03-06,45280.94,510057.78,4172,78650,9269820,150772,8.877609905293475,11.264293099922396,0.8484522892569651,5.304513668150032,0.575727145581691
2026-03-07,43421.81,464618.99,3993,80931,9020065,150588,9.34568128607916,10.700129497135196,0.8972330022012037,4.933832524001928,0.5365287714225698
2026-03-08,47743.24,485770.65,4392,91796,9900088,150586,9.828350066023955,10.174647761651704,0.9272240812404899,4.784522201403111,0.5201015294784086
2026-03-09,50621.4,556117.69,4610,89436,10421728,150664,9.102641564953636,10.985822004132638,0.8581686261625711,5.154523905362494,0.5660069770562189
2026-03-10,49024.28,510148.41,4216,84593,10184006,150704,9.609807467595557,10.406035743921175,0.8306456221647945,4.983863913089735,0.5795311668814205
2026-03-11,48738.14,447975.0,3864,85385,10230766,36459,10.879656230816453,9.191466888149609,0.834590489118801,4.525385020788194,0.5708044738537214
2026-03-12,45953.89,382874.86,3104,80883,9948431,26491,12.002326295333155,8.331718163576577,0.8130226766411709,3.837642026136518,0.5681526402334236
2026-03-13,4435.57,18917.28,183,8927,1270755,21264,23.447186910591796,4.2649039469560845,0.7024957603944112,2.0499607930995856,0.49687128934692504
